iter	Passed	Remaining
0	0	70
1	1	64
2	1	60
3	2	56
4	3	61
5	3	60
6	4	59
7	5	58
8	5	57
9	6	56
10	6	55
11	7	54
12	7	53
13	8	52
14	9	51
15	9	51
16	10	51
17	11	50
18	11	49
19	12	48
20	12	48
21	13	47
22	14	46
23	14	46
24	15	45
25	15	44
26	16	44
27	16	43
28	17	43
29	18	43
30	19	42
31	19	41
32	20	41
33	20	40
34	21	39
35	21	38
36	22	38
37	23	37
38	24	37
39	24	37
40	25	36
41	25	35
42	26	34
43	26	34
44	27	33
45	27	32
46	28	32
47	29	31
48	30	31
49	30	30
50	31	30
51	32	29
52	32	28
53	33	28
54	33	27
55	34	26
56	34	26
57	35	25
58	35	25
59	36	24
60	37	23
61	37	23
62	38	22
63	39	21
64	39	21
65	40	20
66	40	20
67	41	19
68	42	18
69	42	18
70	43	17
71	44	17
72	45	16
73	46	16
74	47	15
75	47	15
76	48	14
77	49	13
78	50	13
79	50	12
80	51	11
81	51	11
82	52	10
83	52	10
84	53	9
85	53	8
86	54	8
87	55	7
88	55	6
89	56	6
90	57	5
91	57	5
92	58	4
93	58	3
94	59	3
95	60	2
96	61	1
97	62	1
98	62	0
99	63	0
