iter	RMSE
0	14.6260196
1	14.23671813
2	13.8651609
3	13.51201069
4	13.18994195
5	12.91817835
6	12.62117786
7	12.31575212
8	12.04631141
9	11.76685665
10	11.52238795
11	11.26946061
12	11.06333714
13	10.83511535
14	10.58997782
15	10.36862988
16	10.17343023
17	9.959368361
18	9.779261674
19	9.582340248
20	9.405293648
21	9.223627368
22	9.063478343
23	8.888183285
24	8.743726792
25	8.605729045
26	8.479627377
27	8.349007295
28	8.229734264
29	8.124167361
30	8.006836422
31	7.895545379
32	7.780293603
33	7.687802515
34	7.586462861
35	7.490144231
36	7.391838052
37	7.318118943
38	7.232791486
39	7.139986692
40	7.052867508
41	6.979188062
42	6.906451338
43	6.835154191
44	6.759536193
45	6.693883466
46	6.633171311
47	6.574498047
48	6.518010094
49	6.466830938
50	6.427170095
51	6.378373749
52	6.331616326
53	6.29185321
54	6.244838279
55	6.200298527
56	6.163504038
57	6.119964518
58	6.09087612
59	6.053377285
60	6.016891542
61	5.984248202
62	5.952406669
63	5.92399484
64	5.889467641
65	5.857218183
66	5.83384574
67	5.805523015
68	5.780971239
69	5.757596121
70	5.739615704
71	5.714570904
72	5.694020286
73	5.67289116
74	5.649569433
75	5.631194955
76	5.612349213
77	5.595304307
78	5.573092197
79	5.55459095
80	5.539728677
81	5.523173064
82	5.504779196
83	5.486466871
84	5.469504488
85	5.454031632
86	5.443343202
87	5.430589787
88	5.419564459
89	5.403127818
90	5.3856252
91	5.377094525
92	5.367024487
93	5.353134195
94	5.345577888
95	5.337438459
96	5.327375889
97	5.317050221
98	5.308855941
99	5.301420724
100	5.289170057
101	5.282500035
102	5.273097257
103	5.263656806
104	5.256331679
105	5.247554939
106	5.23988646
107	5.231431328
108	5.226062901
109	5.220959932
110	5.213788745
111	5.206044562
112	5.200899962
113	5.193535421
114	5.186669239
115	5.179729453
116	5.175003908
117	5.16973161
118	5.16137016
119	5.152810568
120	5.146254392
121	5.141977681
122	5.135038794
123	5.128296406
124	5.121539534
125	5.115803812
126	5.106765837
127	5.097426506
128	5.09296329
129	5.089390748
130	5.082424979
131	5.072909584
132	5.065636149
133	5.06012251
134	5.056294797
135	5.050105334
136	5.043765589
137	5.036942883
138	5.035539678
139	5.029674899
140	5.025130498
141	5.02115913
142	5.011302011
143	5.005053676
144	4.99660019
145	4.992397005
146	4.989902316
147	4.986834911
148	4.980909568
149	4.976172818
150	4.972551064
151	4.969791124
152	4.965570025
153	4.961092958
154	4.95844668
155	4.955346647
156	4.950424795
157	4.943190458
158	4.93893744
159	4.933906137
160	4.929284292
161	4.925693853
162	4.922344962
163	4.916941565
164	4.910137178
165	4.905505579
166	4.905096104
167	4.900202433
168	4.891286499
169	4.88662844
170	4.882588043
171	4.875782689
172	4.873335208
173	4.868008864
174	4.865364802
175	4.861343412
